,place,lat,lon
407,"the Republic of Mexico.<br />
",,
408,Tallulah,32.4084539,-91.1869112
409,the State of Maryland,40.6719488,-73.5989305
410,Heureaux,18.4814072,-69.8812562
411,Lidice,50.1435834,14.1905224
412,Princeton,40.3496953,-74.6597376
413,Puritan,39.1586831,-82.4890465
414,China Sea,55.8609333,-4.2566999
415,fact:&nbsp;The United States of America,,
416,Creo,42.7886819,-8.9835934
417,Mukden,41.8026095,123.4279105
418,Aberdeen,57.1482429,-2.0928095
419,the United States of Colombia,-34.5766628,-58.4187655
420,Levittown,40.7259621,-73.5144766
421,Upper Canada,51.3199525,-2.9162048
422,the Rocky Mountains,43.9521287,-109.27852
423,Malaysia,4.5693754,102.2656823
424,the Gulf of Alaska,,
425,woodland,38.6786109,-121.7733285
426,an American Republic,33.3828,-111.9399658
427,Kingdom,54.7023545,-3.2765753
428,’s Mexico,17.963519,-92.8992021
429,Maysville,38.6474569,-83.7644793
430,entering.</span,,
431,the Caribbean Basin Initiative,,
432,Salsa,44.46595,10.8623641
433,McKinley,35.6438394,-108.1515609
434,Russia,64.6863136,97.7453061
435,Teapot Dome,43.1746181,-115.5167486
436,the Eternal City,39.6538355,67.0612756
437,Applause.)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp,,
438,Kashmir,26.2644203,71.6027498
439,Domingo,19.0974031,-70.3028026
440,Normandy,49.0677708,0.3138532
441,Cancun,21.1527467,-86.8425761
442,the State of Nicaragua,,
443,Konia,37.872734,32.4924376
444,the Mississippi Gulf Coast,30.5658727,-89.039957
445,Crawford,41.6951179,-80.1428967
446,Park Fairfax,39.1943705,-79.4871695
447,the Klehini River,,
448,Pomeroy,42.5507101,-94.6851473
449,Libya,26.8234472,18.1236723
450,the Samoan Islands,,
451,Arnolds River,-37.6708506,144.5495601
452,the Soviet Union's,60.1969953,29.6081811
453,Rocky mountains,54.7598809,-120.9433561
454,Terror,68.9036193,-98.9383901
455,Fontana,34.0922947,-117.43433
456,the Democratic Republic of Vietnam.<br />,,
457,the Gulf Coast,-36.6233409,174.7917981
458,Rockland,41.1519319,-74.0357266
459,Provinces,47.5990471,1.3362987
460,the U. S.,36.1337324,-80.2782636
461,the South American,-33.6414264,151.0449204
462,the Mekong Valley,,
463,Chile,-31.7613365,-71.3187697
464,North America.</span,,
465,the Coral Sea,50.8446081,-0.1947641
466,the Pacific Coast,-26.6758415,153.1136614
467,Gettysburg,39.8308973,-77.231012
468,Montgomery,32.3777111,-86.3090775
469,Island,64.9841821,-18.1059013
470,Ruatan,-3.2469588,128.9948152
471,Gaul,50.1813995,7.6535842
472,Kongo Valley,-4.0794716,22.593856
473,dignity.&nbsp;</span,,
474,North Miami,25.8900949,-80.1867138
475,Wilmington,39.7459468,-75.546589
476,the Isle of Erin,,
477,The Europe of today,,
478,Niagara,43.2042439,-78.7676017
479,Jr.,-1.7562358,-47.0705427
480,Bremen,53.0758196,8.8071646
481,Lublin,51.2181945,22.5546776
482,the Northern Pacific,-33.6995594,151.0973143
483,Redding,40.5863563,-122.391675
484,Greytown,-41.0806338,175.460547
485,metro,48.9117629,2.2139698
486,New Grenada,40.1345266,-78.0875054
487,Territories of Wisconsin,,
488,Sudan,14.5844444,29.4917691
489,the Bering Sea,,
490,Thou,47.5790082,2.9076132
491,Militia,23.9246243,97.8407932
492,The Republic of Texas,32.3814205,-97.3352431
493,happiness.</span><br><span,,
494,East Timor,-8.7443169,126.063482
495,Fort Pitt,53.6359853,-109.7413681
496,Canal,46.3600576,11.9150952
497,numbers.&nbsp,,
498,Zambia,-14.5189121,27.5589884
499,Guadalcanal,-9.5984209,160.1485117
500,the Mosquito Coast,-33.7114733,151.0768756
501,mind.&nbsp,,
502,the State of Florida,-37.7358413,144.7497492
503,DC,4.2834715,-74.1753606
504,the States of Louisiana,38.8898528,-77.0407533
505,the Spanish Province,-38.1632111,-58.7840375
506,the Awali River,,
507,armaments.</span,,
508,departments&nbsp,,
509,the Province of,38.2231554,-85.7677154
510,NEW YORK,40.7127281,-74.0060152
511,Temple Hills,38.8105035,-76.950006
512,the State of Indiana,40.6459206,-79.2807008
513,a Federal Republic,44.6939006,40.1520421
514,Youngstown,41.1035786,-80.6520161
515,Americans:&nbsp,,
516,Montana Territories,-46.4035343,51.690995
517,Wisconsin,44.4308975,-89.6884637
518,"the United States.<br />
Now",,
519,you.</span,40.3889776,-111.5778554
520,Bringing America,47.7096261,-122.3429933
521,WASHINGTON,38.8950368,-77.0365427
522,Jehol,40.9507147,117.9567031
523,the Russian Empire,35.277042,62.341882
524,the United States of America,36.1337324,-80.2782636
525,V.A. Choice,52.0790762,4.277779
526,Snowflake,34.5114704,-110.079608
527,Hollywood,34.0980031,-118.329523
528,the Arabian Peninsula,,
529,San Pedro,33.7358518,-118.2922934
530,Eastern Shore,38.8334748,-77.3042602
531,Trenton,40.2203074,-74.7659
532,Glendale,34.1469416,-118.2478471
533,North of,10.7731611,76.6850259
534,Wyoming,43.1700264,-107.568534
535,Yemen,16.3471243,47.8915271
536,Muller,41.7084633,1.2085436
537,Chesapeake,36.7168315,-76.2494453
538,brotherhood.</span,,
539,North East,-21.0244816,27.5147504
540,Manavi,15.9967483,77.0481181
541,Building,17.3953528,78.3768083
542,West Point’s,50.097048,8.5228785
543,the Central American,34.0357784,-118.2036198
544,Anacostia,38.8625806,-76.984441
545,the British Province,7.2929248,80.6432669
546,Berlin,52.5173885,13.3951309
547,hell.</span,,
548,St. Petersburg,59.938732,30.316229
549,St. Christopher,17.315693,-62.7446806
550,the United States of Central America,42.49867,-90.6632415
551,strong.&nbsp;Our,,
552,M.A.,18.4924188,-69.8051757
553,West India Islands,,
554,rotunda,46.8991335,24.2129838
555,Dixie,29.6214008,-83.17351
556,Amapala,13.292907,-87.6533563
557,North Africa.&nbsp,,
558,The United States&nbsp;is,,
559,the Missouri River,45.9262244,-111.5043746
560,South Pacific,7.0654996,125.5133981
561,Military,41.3926455,-73.9599242
562,right:&nbsp,,
563,wide.</span,-41.3199002,174.7955057
564,Manitoba,55.001251,-97.001038
565,Haiphong,20.8623278,106.6799266
566,Cairo,30.0443879,31.2357257
567,Vancouver,49.2608724,-123.113952
568,Kunar Valley,34.3460342,73.2193339
569,people—“and,42.332711,-3.7000308
570,the West Front,50.9577655,-1.591634
571,Galveston Bay,29.5696734,-94.936592
572,Disturnell&#39;s,,
573,Southeast Asia,49.1855798,16.6155415
574,power.&nbsp,,
575,Baltics,45.328499,-74.7910585
576,Carlisle,54.8948478,-2.9362311
577,width,46.7814075,17.9437795
578,Okay?&nbsp,,
579,Okinawa,26.5707754,128.0255901
580,Quartet,51.5729984,-0.0679998
581,dedicated.</span,,
582,the Tennessee Valley,35.0438943,-85.0628039
583,North to South,-2.98e-05,-78.3073887
584,new States,38.9190048,-77.0642312
585,Puerto Ricans,,
586,Worth,31.524179,-83.8712801
587,the Republic of Honduras,14.0948563,-87.1819521
588,--United States,39.7837304,-100.445882
589,Suffolk,52.2410014,1.0465716
590,the Ear East,-37.8115899,144.9774158
591,Hokkaido,43.4519831,142.8197834
592,Netherlands,52.2434979,5.6343227
593,the Mississippi Basin,,
594,United States,39.7837304,-100.445882
595,Kweiliang,,
596,The Hague Convention,52.0926176,4.2828457
597,repeat:&nbsp,,
598,the European States,38.9029411,-77.048556
599,world.&nbsp;And,,
600,Karachi,24.8546842,67.0207055
601,Doha,25.3108807,51.5081812
602,Bali,-8.2271303,115.1919203
603,New Hampshire,43.4849133,-71.6553992
604,June.</span,,
605,Tupelo,34.2576067,-88.7033859
606,Northwestern Syria,,
607,Rochester,43.157285,-77.615214
608,the Pacific Ocean,33.7657368,-118.1820791
609,the Black Sea,52.0687719,4.2778376
610,Psalm,52.5444026,11.9801126
611,the Bay of San Francisco,37.7685636,-122.3865374
612,Lawrence,38.9719137,-95.2359403
613,the State of Honduras,,
614,the Arctic Circle,66.5435734,25.8465162
615,God&#39;s Providence,,
616,American Republic,41.6019719,-93.6605093
